pais,estado_provincia,continente
Brazil,Bahia,SOUTH_AMERICA
Brazil,Bahia,
Brazil,Goiás,SOUTH_AMERICA
Brazil,Santa Catarina,SOUTH_AMERICA
Brazil,Rio Grande do Sul,SOUTH_AMERICA
Brazil,Minas Gerais,SOUTH_AMERICA
Ecuador,Galápagos,SOUTH_AMERICA
Ecuador,Galápagos,
Mexico,Baja California Sur,NORTH_AMERICA
Mexico,Baja California Sur,
Mexico,,
Spain,Islas Canarias,AFRICA
Myanmar,Tanintharyi,ASIA
Angola,Luanda,AFRICA
Colombia,Valle del Cauca,SOUTH_AMERICA
Panama,,NORTH_AMERICA
Mexico,,NORTH_AMERICA
New Caledonia,,OCEANIA
Congo,,
Indonesia,Maluku,
Australia,,
South Africa,Western Cape,AFRICA
Malaysia,Sabah,ASIA
Côte d’Ivoire,Bas-Sassandra,AFRICA
Christmas Island,,ASIA
Costa Rica,Puntarenas,NORTH_AMERICA
Costa Rica,,NORTH_AMERICA
Nicaragua,Managua,
Angola,Luanda,
Costa Rica,Guanacaste,NORTH_AMERICA
Philippines,,ASIA
Singapore,North,ASIA
Solomon Islands,Western,OCEANIA
Ecuador,,SOUTH_AMERICA
Mexico,Baja California,NORTH_AMERICA
Philippines,,
Brazil,Rio de Janeiro,SOUTH_AMERICA
Brazil,,
Brazil,Pará,SOUTH_AMERICA
French Guiana,Saint-Laurent-du-Maroni,SOUTH_AMERICA
French Guiana,,SOUTH_AMERICA
French Guiana,Cayenne,SOUTH_AMERICA
Brazil,Amapá,SOUTH_AMERICA
Trinidad and Tobago,Trinidad,SOUTH_AMERICA
French Guiana,Guyane française,SOUTH_AMERICA
Brazil,Maranhão,SOUTH_AMERICA
Suriname,,
Suriname,Paramaribo,SOUTH_AMERICA
Guyana,,SOUTH_AMERICA
French Guiana,guyane française,SOUTH_AMERICA
Argentina,Santa Fe,SOUTH_AMERICA
Argentina,Entre Ríos,SOUTH_AMERICA
Argentina,Buenos Aires,SOUTH_AMERICA
Brazil,Mato Grosso,SOUTH_AMERICA
Argentina,Misiones,SOUTH_AMERICA
Argentina,Ciudad de Buenos Aires,SOUTH_AMERICA
Uruguay,Colonia,SOUTH_AMERICA
Paraguay,Ñeembucú,SOUTH_AMERICA
Argentina,Corrientes,SOUTH_AMERICA
Argentina,Formosa,SOUTH_AMERICA
Brazil,Espírito Santo,SOUTH_AMERICA
Brazil,Paraná,SOUTH_AMERICA
Brazil,Amazonas,SOUTH_AMERICA
Costa Rica,Alajuela,NORTH_AMERICA
Peru,San Martín,SOUTH_AMERICA
Costa Rica,Limón,NORTH_AMERICA
Costa Rica,Heredia,NORTH_AMERICA
Panama,Panamá,NORTH_AMERICA
Brazil,Ceará,SOUTH_AMERICA
Brazil,Mato Grosso do Sul,SOUTH_AMERICA
Colombia,Vaupés,SOUTH_AMERICA
Panama,Darién,NORTH_AMERICA
Ecuador,Orellana,SOUTH_AMERICA
Suriname,Commewijne,SOUTH_AMERICA
Costa Rica,Cartago,NORTH_AMERICA
Suriname,Sipaliwini,SOUTH_AMERICA
Panama,Ngöbe Buglé,NORTH_AMERICA
Peru,Loreto,SOUTH_AMERICA
